,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,growth_rate
106,80,Mega Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2.0,120.0,590,95,75,180,130,80,30,75.0,Medium Fast
107,80,Galarian Slowbro,8,Normal,Hermit Crab Pokémon,2,Poison,Psychic,1.6,70.5,490,95,100,95,100,70,30,75.0,Medium Fast
108,81,Magnemite,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6.0,325,25,35,70,95,55,45,190.0,Medium Fast
109,82,Magneton,1,Normal,Magnet Pokémon,2,Electric,Steel,1.0,60.0,465,50,60,95,120,70,70,60.0,Medium Fast
110,83,Farfetch'd,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15.0,377,52,90,55,58,62,60,45.0,Medium Fast
111,83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,1,Fighting,None,0.8,42.0,377,52,95,55,58,62,55,45.0,Medium Fast
112,84,Doduo,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,310,35,85,45,35,35,75,190.0,Medium Fast
113,85,Dodrio,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,470,60,110,70,60,60,110,45.0,Medium Fast
114,86,Seel,1,Normal,Sea Lion Pokémon,1,Water,None,1.1,90.0,325,65,45,55,45,70,45,190.0,Medium Fast
115,87,Dewgong,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120.0,475,90,70,80,70,95,70,75.0,Medium Fast
116,88,Grimer,1,Normal,Sludge Pokémon,1,Poison,None,0.9,30.0,325,80,80,50,40,50,25,190.0,Medium Fast
117,88,Alolan Grimer,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42.0,325,80,80,50,40,50,25,190.0,Medium Fast
118,89,Muk,1,Normal,Sludge Pokémon,1,Poison,None,1.2,30.0,500,105,105,75,65,100,50,75.0,Medium Fast
119,89,Alolan Muk,1,Normal,Sludge Pokémon,2,Poison,Dark,1.0,52.0,500,105,105,75,65,100,50,75.0,Medium Fast
120,90,Shellder,1,Normal,Bivalve Pokémon,1,Water,None,0.3,4.0,305,30,65,100,45,25,40,190.0,Slow
121,91,Cloyster,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,525,50,95,180,85,45,70,60.0,Slow
122,92,Gastly,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,310,30,35,30,100,35,80,190.0,Medium Slow
123,93,Haunter,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,405,45,50,45,115,55,95,90.0,Medium Slow
124,94,Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,500,60,65,60,130,75,110,45.0,Medium Slow
125,94,Mega Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,600,60,65,80,170,95,130,45.0,Medium Slow
126,95,Onix,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210.0,385,35,45,160,30,45,70,45.0,Medium Fast
127,96,Drowzee,1,Normal,Hypnosis Pokémon,1,Psychic,None,1.0,32.4,328,60,48,45,43,90,42,190.0,Medium Fast
128,97,Hypno,1,Normal,Hypnosis Pokémon,1,Psychic,None,1.6,75.6,483,85,73,70,73,115,67,75.0,Medium Fast
129,98,Krabby,1,Normal,River Crab Pokémon,1,Water,None,0.4,6.5,325,30,105,90,25,25,50,225.0,Medium Fast
130,99,Kingler,1,Normal,Pincer Pokémon,1,Water,None,1.3,60.0,475,55,130,115,50,50,75,60.0,Medium Fast
131,100,Voltorb,1,Normal,Ball Pokémon,1,Electric,None,0.5,10.4,330,40,30,50,55,55,100,190.0,Medium Fast
132,101,Electrode,1,Normal,Ball Pokémon,1,Electric,None,1.2,66.6,490,60,50,70,80,80,150,60.0,Medium Fast
133,102,Exeggcute,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,325,60,40,80,60,45,40,90.0,Slow
134,103,Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Psychic,2.0,120.0,530,95,95,85,125,75,55,45.0,Slow
135,103,Alolan Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,530,95,105,85,125,75,45,45.0,Slow
136,104,Cubone,1,Normal,Lonely Pokémon,1,Ground,None,0.4,6.5,320,50,50,95,40,50,35,190.0,Medium Fast
137,105,Marowak,1,Normal,Bone Keeper Pokémon,1,Ground,None,1.0,45.0,425,60,80,110,50,80,45,75.0,Medium Fast
138,105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1.0,34.0,425,60,80,110,50,80,45,75.0,Medium Fast
139,106,Hitmonlee,1,Normal,Kicking Pokémon,1,Fighting,None,1.5,49.8,455,50,120,53,35,110,87,45.0,Medium Fast
140,107,Hitmonchan,1,Normal,Punching Pokémon,1,Fighting,None,1.4,50.2,455,50,105,79,35,110,76,45.0,Medium Fast
141,108,Lickitung,1,Normal,Licking Pokémon,1,Normal,None,1.2,65.5,385,90,55,75,60,75,30,45.0,Medium Fast
142,109,Koffing,1,Normal,Poison Gas Pokémon,1,Poison,None,0.6,1.0,340,40,65,95,60,45,35,190.0,Medium Fast
143,110,Weezing,1,Normal,Poison Gas Pokémon,1,Poison,None,1.2,9.5,490,65,90,120,85,70,60,60.0,Medium Fast
144,110,Galarian Weezing,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3.0,16.0,490,65,90,120,85,70,60,60.0,Medium Fast
145,111,Rhyhorn,1,Normal,Spikes Pokémon,2,Ground,Rock,1.0,115.0,345,80,85,95,30,30,25,120.0,Slow
146,112,Rhydon,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120.0,485,105,130,120,45,45,40,60.0,Slow
147,113,Chansey,1,Normal,Egg Pokémon,1,Normal,None,1.1,34.6,450,250,5,5,35,105,50,30.0,Fast
148,114,Tangela,1,Normal,Vine Pokémon,1,Grass,None,1.0,35.0,435,65,55,115,100,40,60,45.0,Medium Fast
149,115,Kangaskhan,1,Normal,Parent Pokémon,1,Normal,None,2.2,80.0,490,105,95,80,40,80,90,45.0,Medium Fast
150,115,Mega Kangaskhan,1,Normal,Parent Pokémon,1,Normal,None,2.2,100.0,590,105,125,100,60,100,100,45.0,Medium Fast
151,116,Horsea,1,Normal,Dragon Pokémon,1,Water,None,0.4,8.0,295,30,40,70,70,25,60,225.0,Medium Fast
152,117,Seadra,1,Normal,Dragon Pokémon,1,Water,None,1.2,25.0,440,55,65,95,95,45,85,75.0,Medium Fast
153,118,Goldeen,1,Normal,Goldfish Pokémon,1,Water,None,0.6,15.0,320,45,67,60,35,50,63,225.0,Medium Fast
154,119,Seaking,1,Normal,Goldfish Pokémon,1,Water,None,1.3,39.0,450,80,92,65,65,80,68,60.0,Medium Fast
155,120,Staryu,1,Normal,Star Shape Pokémon,1,Water,None,0.8,34.5,340,30,45,55,70,55,85,225.0,Slow
156,121,Starmie,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80.0,520,60,75,85,100,85,115,60.0,Slow
157,122,Mr. Mime,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,460,40,45,65,100,120,90,45.0,Medium Fast
158,122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,460,50,65,65,90,90,100,45.0,Medium Fast
159,123,Scyther,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56.0,500,70,110,80,55,80,105,45.0,Medium Fast
160,124,Jynx,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,455,65,50,35,115,95,95,45.0,Medium Fast
161,125,Electabuzz,1,Normal,Electric Pokémon,1,Electric,None,1.1,30.0,490,65,83,57,95,85,105,45.0,Medium Fast
162,126,Magmar,1,Normal,Spitfire Pokémon,1,Fire,None,1.3,44.5,495,65,95,57,100,85,93,45.0,Medium Fast
163,127,Pinsir,1,Normal,Stag Beetle Pokémon,1,Bug,None,1.5,55.0,500,65,125,100,55,70,85,45.0,Slow
164,127,Mega Pinsir,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59.0,600,65,155,120,65,90,105,45.0,Slow
165,128,Tauros,1,Normal,Wild Bull Pokémon,1,Normal,None,1.4,88.4,490,75,100,95,40,70,110,45.0,Slow
166,129,Magikarp,1,Normal,Fish Pokémon,1,Water,None,0.9,10.0,200,20,10,55,15,20,80,255.0,Slow
167,130,Gyarados,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235.0,540,95,125,79,60,100,81,45.0,Slow
168,130,Mega Gyarados,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305.0,640,95,155,109,70,130,81,45.0,Slow
169,131,Lapras,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220.0,535,130,85,80,85,95,60,45.0,Slow
170,132,Ditto,1,Normal,Transform Pokémon,1,Normal,None,0.3,4.0,288,48,48,48,48,48,48,35.0,Medium Fast
171,133,Eevee,1,Normal,Evolution Pokémon,1,Normal,None,0.3,6.5,325,55,55,50,45,65,55,45.0,Medium Fast
172,133,Partner Eevee,1,Normal,Evolution Pokémon,1,Normal,None,0.3,6.5,435,65,75,70,65,85,75,45.0,Medium Fast
173,134,Vaporeon,1,Normal,Bubble Jet Pokémon,1,Water,None,1.0,29.0,525,130,65,60,110,95,65,45.0,Medium Fast
174,135,Jolteon,1,Normal,Lightning Pokémon,1,Electric,None,0.8,24.5,525,65,65,60,110,95,130,45.0,Medium Fast
175,136,Flareon,1,Normal,Flame Pokémon,1,Fire,None,0.9,25.0,525,65,130,60,95,110,65,45.0,Medium Fast
176,137,Porygon,1,Normal,Virtual Pokémon,1,Normal,None,0.8,36.5,395,65,60,70,85,75,40,45.0,Medium Fast
177,138,Omanyte,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,355,35,40,100,90,55,35,45.0,Medium Fast
178,139,Omastar,1,Normal,Spiral Pokémon,2,Rock,Water,1.0,35.0,495,70,60,125,115,70,55,45.0,Medium Fast
179,140,Kabuto,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,355,30,80,90,55,45,55,45.0,Medium Fast
180,141,Kabutops,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,495,60,115,105,65,70,80,45.0,Medium Fast
181,142,Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59.0,515,80,105,65,60,75,130,45.0,Slow
182,142,Mega Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79.0,615,80,135,85,70,95,150,45.0,Slow
183,143,Snorlax,1,Normal,Sleeping Pokémon,1,Normal,None,2.1,460.0,540,160,110,65,65,110,30,25.0,Slow
184,144,Articuno,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,580,90,85,100,95,125,85,3.0,Slow
185,144,Galarian Articuno,8,Sub Legendary,Cruel Pokémon,2,Psychic,Flying,1.7,50.9,580,90,85,85,125,100,95,3.0,Slow
186,145,Zapdos,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,1.6,52.6,580,90,90,85,125,90,100,3.0,Slow
187,145,Galarian Zapdos,8,Sub Legendary,Strong Legs Pokémon,2,Fighting,Flying,1.6,58.2,580,90,125,90,85,90,100,3.0,Slow
188,146,Moltres,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,2.0,60.0,580,90,100,90,125,85,90,3.0,Slow
189,146,Galarian Moltres,8,Sub Legendary,Malevolent Pokémon,2,Dark,Flying,2.0,66.0,580,90,85,90,100,125,90,3.0,Slow
190,147,Dratini,1,Normal,Dragon Pokémon,1,Dragon,None,1.8,3.3,300,41,64,45,50,50,50,45.0,Slow
191,148,Dragonair,1,Normal,Dragon Pokémon,1,Dragon,None,4.0,16.5,420,61,84,65,70,70,70,45.0,Slow
192,149,Dragonite,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210.0,600,91,134,95,100,100,80,45.0,Slow
193,150,Mewtwo,1,Legendary,Genetic Pokémon,1,Psychic,None,2.0,122.0,680,106,110,90,154,90,130,3.0,Slow
194,150,Mega Mewtwo X,1,Legendary,Genetic Pokémon,2,Psychic,Fighting,2.3,127.0,780,106,190,100,154,100,130,3.0,Slow
195,150,Mega Mewtwo Y,1,Legendary,Genetic Pokémon,1,Psychic,None,1.5,33.0,780,106,150,70,194,120,140,3.0,Slow
196,151,Mew,1,Mythical,New Species Pokémon,1,Psychic,None,0.4,4.0,600,100,100,100,100,100,100,45.0,Medium Slow
197,152,Chikorita,2,Normal,Leaf Pokémon,1,Grass,None,0.9,6.4,318,45,49,65,49,65,45,45.0,Medium Slow
198,153,Bayleef,2,Normal,Leaf Pokémon,1,Grass,None,1.2,15.8,405,60,62,80,63,80,60,45.0,Medium Slow
199,154,Meganium,2,Normal,Herb Pokémon,1,Grass,None,1.8,100.5,525,80,82,100,83,100,80,45.0,Medium Slow
200,155,Cyndaquil,2,Normal,Fire Mouse Pokémon,1,Fire,None,0.5,7.9,309,39,52,43,60,50,65,45.0,Medium Slow
